year,description
1730,geomagnetic storm
1859,"Carrington Event, aurorae seen worldwide"
1882,geomagnetic storm
1903,geomagnetic storm
1909,geomagnetic storm
1921,many reported outages
1938,geomagnetic storm
1946,geomagnetic storm
1967,Cold War scare due to blackout of radars
1972,geomagnetic storm
1989,outage of Quebec power grid
1991,aurorae seen in Texas
2000,Bastille Day solar storm
2001,aurorae seen in Florida
2003,aurorae seen in Italy
2022,several SpaceX satellites malfunctioned
2025,next Carrington Event?
