"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Kris Bryant","COL","149","644","560","155","35","2","28","96","87","66","138","13","8","3","",".277",".364",".499",".862",".367","","-4.9","1.2","","2.4","","74.1","15429"
"Ryan McMahon","COL","139","602","534","136","30","2","25","78","86","59","160","4","6","2","",".254",".331",".460",".791",".338","","2.3","-0.2","","2.1","","158.4","15112"
"Brendan Rodgers","COL","128","553","512","143","29","4","21","68","72","29","111","8","1","1","",".280",".326",".473",".799",".341","","0.2","-0.6","","1.9","","168.8","17907"
"C.J. Cron","COL","136","588","517","138","30","1","31","77","95","54","129","12","1","0","",".268",".348",".510",".858",".363","","0.1","-1.6","","1.8","","123.2","12546"
"José Iglesias","COL","126","546","513","150","32","2","9","62","60","21","71","6","6","3","",".291",".326",".418",".744",".321","","-1.1","-0.4","","1.3","","538.0","10231"
"Elias Díaz","COL","91","358","325","86","17","1","12","44","43","27","60","2","1","0","",".263",".323",".434",".757",".325","","-1.5","-0.5","","1.0","","226.6","11680"
"Randal Grichuk","COL","128","553","513","136","30","3","27","70","84","31","115","4","2","2","",".265",".310",".491",".800",".338","","-4.7","-0.9","","1.0","","348.3","10243"
"Charlie Blackmon","COL","138","595","532","148","28","4","19","84","73","48","101","8","3","2","",".278",".345",".451",".796",".342","","-1.3","-0.8","","0.7","","237.8","7859"
"Connor Joe","COL","76","329","282","73","16","1","12","44","41","39","69","5","2","1","",".259",".354",".444",".798",".346","","0.5","-0.4","","0.6","","345.5","16572"
"Dom Nuñez","COL","66","262","227","46","10","2","10","31","31","31","84","2","1","1","",".203",".301",".399",".701",".301","","-0.5","-0.2","","0.5","","589.1","15055"
"Sam Hilliard","COL","105","455","409","93","18","3","21","57","59","39","149","2","10","3","",".227",".296",".442",".738",".313","","1.0","0.7","","0.4","","494.7","17954"
"Garrett Hampson","COL","62","266","242","60","11","3","6","33","24","19","64","1","10","3","",".247",".304",".395",".700",".302","","-1.2","0.8","","0.1","","324.3","19262"
"Colton Welker","COL","39","168","152","39","8","1","5","20","20","12","38","1","1","1","",".254",".312",".423",".735",".315","","0.3","-0.2","","0.1","","599.0","19961"
"Carlos Pérez","COL","5","19","18","4","1","0","1","2","3","1","3","0","0","0","",".242",".294",".434",".727",".310","","0.2","0.0","","0.1","","999.0","10642"
"Alan Trejo","COL","18","77","71","17","4","0","2","9","9","4","18","1","1","1","",".241",".284",".406",".691",".295","","0.4","-0.2","","0.0","","999.0","20056"
"Yonathan Daza","COL","34","147","136","37","7","1","2","15","13","8","26","1","2","1","",".276",".320",".385",".705",".307","","0.9","-0.2","","0.0","","599.4","15794"
"Tim Lopes","COL","2","7","6","2","0","0","0","1","1","0","2","0","0","0","",".255",".310",".401",".710",".307","","0.0","0.0","","0.0","","999.0","14137"
