Name,WAR,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,ADP,playerid
Kris Bryant,2.4,COL,149,644,560,155,35,2,28,96,87,66,138,13,8,3,0.277,0.364,0.499,0.862,0.367,-4.9,1.2,74.1,15429
Ryan McMahon,2.1,COL,139,602,534,136,30,2,25,78,86,59,160,4,6,2,0.254,0.331,0.46,0.791,0.338,2.3,-0.2,158.4,15112
Brendan Rodgers,1.9,COL,128,553,512,143,29,4,21,68,72,29,111,8,1,1,0.28,0.326,0.473,0.799,0.341,0.2,-0.6,168.8,17907
C.J. Cron,1.8,COL,136,588,517,138,30,1,31,77,95,54,129,12,1,0,0.268,0.348,0.51,0.858,0.363,0.1,-1.6,123.2,12546
José Iglesias,1.3,COL,126,546,513,150,32,2,9,62,60,21,71,6,6,3,0.291,0.326,0.418,0.744,0.321,-1.1,-0.4,538,10231
Elias Díaz,1,COL,91,358,325,86,17,1,12,44,43,27,60,2,1,0,0.263,0.323,0.434,0.757,0.325,-1.5,-0.5,226.6,11680
Randal Grichuk,1,COL,128,553,513,136,30,3,27,70,84,31,115,4,2,2,0.265,0.31,0.491,0.8,0.338,-4.7,-0.9,348.3,10243
Charlie Blackmon,0.7,COL,138,595,532,148,28,4,19,84,73,48,101,8,3,2,0.278,0.345,0.451,0.796,0.342,-1.3,-0.8,237.8,7859
Connor Joe,0.6,COL,76,329,282,73,16,1,12,44,41,39,69,5,2,1,0.259,0.354,0.444,0.798,0.346,0.5,-0.4,345.5,16572
Dom Nuñez,0.5,COL,66,262,227,46,10,2,10,31,31,31,84,2,1,1,0.203,0.301,0.399,0.701,0.301,-0.5,-0.2,589.1,15055
Sam Hilliard,0.4,COL,105,455,409,93,18,3,21,57,59,39,149,2,10,3,0.227,0.296,0.442,0.738,0.313,1,0.7,494.7,17954
Garrett Hampson,0.1,COL,62,266,242,60,11,3,6,33,24,19,64,1,10,3,0.247,0.304,0.395,0.7,0.302,-1.2,0.8,324.3,19262
Colton Welker,0.1,COL,39,168,152,39,8,1,5,20,20,12,38,1,1,1,0.254,0.312,0.423,0.735,0.315,0.3,-0.2,599,19961
Carlos Pérez,0.1,COL,5,19,18,4,1,0,1,2,3,1,3,0,0,0,0.242,0.294,0.434,0.727,0.31,0.2,0,999,10642
Alan Trejo,0.1,COL,18,77,71,17,4,0,2,9,9,4,18,1,1,1,0.241,0.284,0.406,0.691,0.295,0.4,-0.2,999,20056
Yonathan Daza,0.1,COL,34,147,136,37,7,1,2,15,13,8,26,1,2,1,0.276,0.32,0.385,0.705,0.307,0.9,-0.2,599.4,15794
Tim Lopes,0.1,COL,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.255,0.31,0.401,0.71,0.307,0,0,999,14137
