Category: All categories

Week,lets get physical: (United States)
2017-04-09,36
2017-04-16,28
2017-04-23,35
2017-04-30,25
2017-05-07,18
2017-05-14,30
2017-05-21,19
2017-05-28,24
2017-06-04,26
2017-06-11,30
2017-06-18,25
2017-06-25,8
2017-07-02,32
2017-07-09,19
2017-07-16,53
2017-07-23,15
2017-07-30,26
2017-08-06,30
2017-08-13,48
2017-08-20,4
2017-08-27,14
2017-09-03,7
2017-09-10,28
2017-09-17,38
2017-09-24,35
2017-10-01,38
2017-10-08,34
2017-10-15,39
2017-10-22,41
2017-10-29,45
2017-11-05,38
2017-11-12,31
2017-11-19,18
2017-11-26,30
2017-12-03,20
2017-12-10,17
2017-12-17,22
2017-12-24,32
2017-12-31,49
2018-01-07,68
2018-01-14,44
2018-01-21,100
2018-01-28,84
2018-02-04,60
2018-02-11,44
2018-02-18,50
2018-02-25,50
2018-03-04,30
2018-03-11,40
2018-03-18,23
2018-03-25,28
2018-04-01,28
2018-04-08,23
2018-04-15,37
2018-04-22,34
2018-04-29,44
2018-05-06,27
2018-05-13,35
2018-05-20,39
2018-05-27,32
2018-06-03,21
2018-06-10,31
2018-06-17,25
2018-06-24,29
2018-07-01,22
2018-07-08,46
2018-07-15,25
2018-07-22,11
2018-07-29,21
2018-08-05,50
2018-08-12,28
2018-08-19,35
2018-08-26,35
2018-09-02,28
2018-09-09,34
2018-09-16,20
2018-09-23,30
2018-09-30,50
2018-10-07,44
2018-10-14,35
2018-10-21,57
2018-10-28,48
2018-11-04,20
2018-11-11,40
2018-11-18,36
2018-11-25,39
2018-12-02,54
2018-12-09,17
2018-12-16,14
2018-12-23,16
2018-12-30,36
2019-01-06,27
2019-01-13,26
2019-01-20,66
2019-01-27,29
2019-02-03,44
2019-02-10,22
2019-02-17,58
2019-02-24,35
2019-03-03,33
2019-03-10,26
2019-03-17,24
2019-03-24,13
2019-03-31,30
2019-04-07,23
2019-04-14,24
2019-04-21,34
2019-04-28,53
2019-05-05,17
2019-05-12,24
2019-05-19,7
2019-05-26,18
2019-06-02,21
2019-06-09,27
2019-06-16,24
2019-06-23,52
2019-06-30,21
2019-07-07,20
2019-07-14,10
2019-07-21,7
2019-07-28,21
2019-08-04,18
2019-08-11,20
2019-08-18,27
2019-08-25,36
2019-09-01,25
2019-09-08,15
2019-09-15,16
2019-09-22,28
2019-09-29,26
2019-10-06,38
2019-10-13,41
2019-10-20,84
2019-10-27,49
2019-11-03,19
2019-11-10,24
2019-11-17,34
2019-11-24,13
2019-12-01,21
2019-12-08,15
2019-12-15,13
2019-12-22,18
2019-12-29,30
2020-01-05,21
2020-01-12,26
2020-01-19,30
2020-01-26,24
2020-02-02,27
2020-02-09,38
2020-02-16,18
2020-02-23,51
2020-03-01,28
2020-03-08,25
2020-03-15,39
2020-03-22,35
2020-03-29,40
2020-04-05,38
2020-04-12,31
2020-04-19,37
2020-04-26,16
2020-05-03,26
2020-05-10,19
2020-05-17,13
2020-05-24,11
2020-05-31,16
2020-06-07,8
2020-06-14,14
2020-06-21,26
2020-06-28,32
2020-07-05,24
2020-07-12,18
2020-07-19,15
2020-07-26,27
2020-08-02,27
2020-08-09,38
2020-08-16,29
2020-08-23,36
2020-08-30,30
2020-09-06,31
2020-09-13,41
2020-09-20,45
2020-09-27,47
2020-10-04,27
2020-10-11,26
2020-10-18,30
2020-10-25,43
2020-11-01,17
2020-11-08,12
2020-11-15,43
2020-11-22,10
2020-11-29,19
2020-12-06,28
2020-12-13,26
2020-12-20,14
2020-12-27,23
2021-01-03,9
2021-01-10,9
2021-01-17,9
2021-01-24,25
2021-01-31,22
2021-02-07,26
2021-02-14,19
2021-02-21,19
2021-02-28,29
2021-03-07,29
2021-03-14,9
2021-03-21,25
2021-03-28,16
2021-04-04,3
2021-04-11,22
2021-04-18,32
2021-04-25,29
2021-05-02,16
2021-05-09,30
2021-05-16,26
2021-05-23,16
2021-05-30,27
2021-06-06,10
2021-06-13,30
2021-06-20,60
2021-06-27,33
2021-07-04,17
2021-07-11,33
2021-07-18,24
2021-07-25,23
2021-08-01,53
2021-08-08,23
2021-08-15,26
2021-08-22,14
2021-08-29,17
2021-09-05,46
2021-09-12,24
2021-09-19,41
2021-09-26,31
2021-10-03,31
2021-10-10,21
2021-10-17,24
2021-10-24,35
2021-10-31,31
2021-11-07,31
2021-11-14,31
2021-11-21,32
2021-11-28,26
2021-12-05,14
2021-12-12,10
2021-12-19,19
2021-12-26,18
2022-01-02,20
2022-01-09,21
2022-01-16,38
2022-01-23,35
2022-01-30,22
2022-02-06,18
2022-02-13,29
2022-02-20,18
2022-02-27,45
2022-03-06,18
2022-03-13,17
2022-03-20,7
2022-03-27,17
2022-04-03,0
