LOCATION,Code,SUBJECT,TIME,Value
AUS,36,PRY,2020,878.40834
AUT,,PRY,2020,814
CAN,,PRY,2018,797.14341
CHE,,PRY,2019,806.25
CHL,,PRY,2020,1015.56
COL,,PRY,2020,960
CRI,,PRY,2020,1170
CZE,,PRY,2020,636.9
DEU,,PRY,2020,691.16237
DNK,,PRY,2020,705
ESP,,PRY,2020,871.18652
EST,,PRY,2020,591.6
FIN,,PRY,2020,673.2
FRA,,PRY,2020,900
GRC,,PRY,2019,660
HUN,,PRY,2020,648
IRL,,PRY,2020,909.33333
ISL,,PRY,2019,603.084
ISR,,PRY,2020,839.16858
ITA,,PRY,2020,745.8
JPN,,PRY,2020,747.1275
KOR,,PRY,2020,679.69641
LTU,,PRY,2020,830.4
LUX,,PRY,2019,809.6
LVA,,PRY,2019,640
MEX,,PRY,2020,800
NLD,,PRY,2020,940
NOR,,PRY,2020,741
NZL,,PRY,2020,921.6
POL,,PRY,2020,604.125
PRT,,PRY,2020,796.5
RUS,,PRY,2017,561
SVK,,PRY,2020,729.3
SVN,,PRY,2020,627
TUR,,PRY,2020,722
USA,,PRY,2016,1004.3748
