Obs. formatted date,Obs. date,Obs. value
2022-03,2022-03-31,"6,704,569.136 "
2022-02,2022-02-28,"6,687,348.951 "
2022-01,2022-01-31,"6,692,608.008 "
2021-12,2021-12-31,"6,710,546.323 "
2021-11,2021-11-30,"6,697,562.383 "
2021-10,2021-10-31,"6,688,883.494 "
2021-09,2021-09-30,"6,683,497.795 "
2021-08,2021-08-31,"6,673,669.084 "
2021-07,2021-07-31,"6,651,750.236 "
2021-06,2021-06-30,"6,619,376.996 "
2021-05,2021-05-31,"6,582,259.646 "
2021-04,2021-04-30,"6,560,335.511 "
2021-03,2021-03-31,"6,562,687.993 "
2021-02,2021-02-28,"6,552,117.945 "
2021-01,2021-01-31,"6,559,535.818 "
2020-12,2020-12-31,"6,582,657.908 "
2020-11,2020-11-30,"6,567,471.353 "
2020-10,2020-10-31,"6,587,660.733 "
2020-09,2020-09-30,"6,590,399.182 "
2020-08,2020-08-31,"6,579,873.994 "
2020-07,2020-07-31,"6,557,282.563 "
2020-06,2020-06-30,"6,531,248.412 "
2020-05,2020-05-31,"6,509,052.904 "
2020-04,2020-04-30,"6,490,484.492 "
2020-03,2020-03-31,"6,476,543.054 "
2020-02,2020-02-29,"6,455,605.422 "
2020-01,2020-01-31,"6,461,117.4 "
2019-12,2019-12-31,"6,498,183.133 "
2019-11,2019-11-30,"6,455,066.405 "
2019-10,2019-10-31,"6,454,522.584 "
2019-09,2019-09-30,"6,450,883.455 "
2019-08,2019-08-31,"6,436,279.657 "
2019-07,2019-07-31,"6,415,987.913 "
2019-06,2019-06-30,"6,377,617.995 "
2019-05,2019-05-31,"6,330,795.797 "
2019-04,2019-04-30,"6,305,030.675 "
2019-03,2019-03-31,"6,263,098.433 "
2019-02,2019-02-28,"6,255,823.761 "
2019-01,2019-01-31,"6,256,703.419 "
2018-12,2018-12-31,"6,296,416.184 "
2018-11,2018-11-30,"6,251,626.479 "
2018-10,2018-10-31,"6,262,688.844 "
2018-09,2018-09-30,"6,266,020.7 "
2018-08,2018-08-31,"6,261,551.678 "
2018-07,2018-07-31,"6,230,406.425 "
2018-06,2018-06-30,"6,189,778.167 "
2018-05,2018-05-31,"6,158,302.111 "
2018-04,2018-04-30,"6,108,237.595 "
2018-03,2018-03-31,"6,089,520.421 "
2018-02,2018-02-28,"6,066,220.663 "
2018-01,2018-01-31,"6,067,632.264 "
2017-12,2017-12-31,"6,103,717.522 "
2017-11,2017-11-30,"6,060,471.253 "
2017-10,2017-10-31,"6,057,875.974 "
2017-09,2017-09-30,"6,054,627.412 "
2017-08,2017-08-31,"6,042,680.612 "
2017-07,2017-07-31,"6,025,215.711 "
2017-06,2017-06-30,"5,995,724.478 "
2017-05,2017-05-31,"5,940,045.468 "
2017-04,2017-04-30,"5,894,480.44 "
2017-03,2017-03-31,"5,857,833.169 "
2017-02,2017-02-28,"5,855,500.713 "
2017-01,2017-01-31,"5,863,503.137 "
2016-12,2016-12-31,"5,900,875.251 "
2016-11,2016-11-30,"5,867,623.841 "
2016-10,2016-10-31,"5,879,029.876 "
2016-09,2016-09-30,"5,881,276.807 "
2016-08,2016-08-31,"5,873,978.668 "
2016-07,2016-07-31,"5,847,918.686 "
2016-06,2016-06-30,"5,806,574.907 "
2016-05,2016-05-31,"5,778,232.817 "
2016-04,2016-04-30,"5,733,293.928 "
2016-03,2016-03-31,"5,732,151.035 "
2016-02,2016-02-29,"5,710,743.643 "
2016-01,2016-01-31,"5,719,654.142 "
2015-12,2015-12-31,"5,751,150.174 "
2015-11,2015-11-30,"5,708,499.684 "
2015-10,2015-10-31,"5,710,751.113 "
2015-09,2015-09-30,"5,718,422.269 "
2015-08,2015-08-31,"5,717,239.056 "
2015-07,2015-07-31,"5,701,676.172 "
2015-06,2015-06-30,"5,657,877.216 "
2015-05,2015-05-31,"5,627,930.478 "
2015-04,2015-04-30,"5,585,917.378 "
2015-03,2015-03-31,"5,560,406.4 "
2015-02,2015-02-28,"5,546,304.406 "
2015-01,2015-01-31,"5,560,428.976 "
2014-12,2014-12-31,"5,580,624.859 "
2014-11,2014-11-30,"5,528,510.083 "
2014-10,2014-10-31,"5,534,298.11 "
2014-09,2014-09-30,"5,540,278.524 "
2014-08,2014-08-31,"5,540,833.056 "
2014-07,2014-07-31,"5,535,969.653 "
2014-06,2014-06-30,"5,500,345.552 "
2014-05,2014-05-31,"5,453,471.349 "
2014-04,2014-04-30,"5,428,933.198 "
2014-03,2014-03-31,"5,384,712.507 "
2014-02,2014-02-28,"5,374,200.837 "
2014-01,2014-01-31,"5,393,682.236 "
2013-12,2013-12-31,"5,432,032.469 "
2013-11,2013-11-30,"5,376,491.378 "
2013-10,2013-10-31,"5,391,434.804 "
2013-09,2013-09-30,"5,399,540.99 "
2013-08,2013-08-31,"5,402,345.749 "
2013-07,2013-07-31,"5,388,266.206 "
2013-06,2013-06-30,"5,358,508.525 "
2013-05,2013-05-31,"5,349,366.882 "
2013-04,2013-04-30,"5,312,398.33 "
2013-03,2013-03-31,"5,300,090.856 "
2013-02,2013-02-28,"5,282,294.028 "
2013-01,2013-01-31,"5,297,441.628 "
2012-12,2012-12-31,"5,339,854.923 "
2012-11,2012-11-30,"5,298,132.937 "
2012-10,2012-10-31,"5,324,872.88 "
2012-09,2012-09-30,"5,335,542.885 "
2012-08,2012-08-31,"5,337,454.087 "
2012-07,2012-07-31,"5,313,623.47 "
2012-06,2012-06-30,"5,293,903.339 "
2012-05,2012-05-31,"5,282,206.669 "
2012-04,2012-04-30,"5,251,706.971 "
2012-03,2012-03-31,"5,229,267.035 "
2012-02,2012-02-29,"5,220,156.003 "
2012-01,2012-01-31,"5,222,039.596 "
2011-12,2011-12-31,"5,265,454.868 "
2011-11,2011-11-30,"5,241,821.88 "
2011-10,2011-10-31,"5,246,732.362 "
2011-09,2011-09-30,"5,252,497.091 "
2011-08,2011-08-31,"5,246,456.496 "
2011-07,2011-07-31,"5,241,408.643 "
2011-06,2011-06-30,"5,226,890.631 "
2011-05,2011-05-31,"5,191,158.425 "
2011-04,2011-04-30,"5,176,877.57 "
2011-03,2011-03-31,"5,134,235.496 "
2011-02,2011-02-28,"5,119,472.93 "
2011-01,2011-01-31,"5,118,555.67 "
2010-12,2010-12-31,"5,142,963.129 "
2010-11,2010-11-30,"5,091,666.418 "
2010-10,2010-10-31,"5,088,897.07 "
2010-09,2010-09-30,"5,096,638.553 "
2010-08,2010-08-31,"5,091,003.999 "
2010-07,2010-07-31,"5,089,466.535 "
2010-06,2010-06-30,"5,040,619.125 "
2010-05,2010-05-31,"5,013,400.16 "
2010-04,2010-04-30,"4,978,099.196 "
2010-03,2010-03-31,"4,968,359.889 "
2010-02,2010-02-28,"4,963,366.454 "
2010-01,2010-01-31,"4,962,807.445 "
2009-12,2009-12-31,"5,004,933.393 "
2009-11,2009-11-30,"4,949,829.603 "
2009-10,2009-10-31,"4,962,173.561 "
2009-09,2009-09-30,"4,970,084.354 "
2009-08,2009-08-31,"4,956,496.54 "
2009-07,2009-07-31,"4,932,774.123 "
2009-06,2009-06-30,"4,902,372.528 "
2009-05,2009-05-31,"4,883,517.007 "
2009-04,2009-04-30,"4,846,545.364 "
2009-03,2009-03-31,"4,800,038.426 "
2009-02,2009-02-28,"4,819,754.578 "
2009-01,2009-01-31,"4,832,815.791 "
2008-12,2008-12-31,"4,835,252.582 "
2008-11,2008-11-30,"4,779,617.005 "
2008-10,2008-10-31,"4,779,688.008 "
2008-09,2008-09-30,"4,775,603.034 "
2008-08,2008-08-31,"4,761,217.377 "
2008-07,2008-07-31,"4,750,599.924 "
2008-06,2008-06-30,"4,715,755.994 "
2008-05,2008-05-31,"4,692,819.06 "
2008-04,2008-04-30,"4,657,459.871 "
2008-03,2008-03-31,"4,643,797.004 "
2008-02,2008-02-29,"4,626,181.843 "
2008-01,2008-01-31,"4,646,400.261 "
2007-12,2007-12-31,"4,657,186.365 "
2007-11,2007-11-30,"4,604,513.899 "
2007-10,2007-10-31,"4,612,251.443 "
2007-09,2007-09-30,"4,603,283.292 "
2007-08,2007-08-31,"4,590,073.362 "
2007-07,2007-07-31,"4,571,251.787 "
2007-06,2007-06-30,"4,540,245.696 "
2007-05,2007-05-31,"4,524,812.204 "
2007-04,2007-04-30,"4,484,087.952 "
2007-03,2007-03-31,"4,444,048.871 "
2007-02,2007-02-28,"4,440,582.759 "
2007-01,2007-01-31,"4,442,689.546 "
2006-12,2006-12-31,"4,455,407.786 "
2006-11,2006-11-30,"4,407,521.859 "
2006-10,2006-10-31,"4,407,000.729 "
2006-09,2006-09-30,"4,411,192.927 "
2006-08,2006-08-31,"4,400,763.868 "
2006-07,2006-07-31,"4,385,909.751 "
2006-06,2006-06-30,"4,352,406.04 "
2006-05,2006-05-31,"4,309,157.134 "
2006-04,2006-04-30,"4,267,921.411 "
2006-03,2006-03-31,"4,230,039.71 "
2006-02,2006-02-28,"4,220,291.203 "
2006-01,2006-01-31,"4,215,064.197 "
2005-12,2005-12-31,"4,242,569.187 "
2005-11,2005-11-30,"4,207,592.693 "
2005-10,2005-10-31,"4,207,428.436 "
2005-09,2005-09-30,"4,199,390.721 "
2005-08,2005-08-31,"4,187,642.571 "
2005-07,2005-07-31,"4,168,396.056 "
2005-06,2005-06-30,"4,136,185.34 "
2005-05,2005-05-31,"4,095,971.118 "
2005-04,2005-04-30,"4,040,507.392 "
2005-03,2005-03-31,"4,030,775.29 "
2005-02,2005-02-28,"4,016,382.562 "
2005-01,2005-01-31,"4,005,604.82 "
2004-12,2004-12-31,"4,023,717.915 "
2004-11,2004-11-30,"3,981,515.138 "
2004-10,2004-10-31,"3,982,267.015 "
2004-09,2004-09-30,"3,988,076.948 "
2004-08,2004-08-31,"3,984,870.939 "
2004-07,2004-07-31,"3,952,798.793 "
2004-06,2004-06-30,"3,919,175.399 "
2004-05,2004-05-31,"3,867,580.848 "
2004-04,2004-04-30,"3,820,347.606 "
2004-03,2004-03-31,"3,778,704.135 "
2004-02,2004-02-29,"3,784,505.867 "
2004-01,2004-01-31,"3,771,655.614 "
2003-12,2003-12-31,"3,803,555.63 "
2003-11,2003-11-30,"3,733,384.646 "
2003-10,2003-10-31,"3,736,397.884 "
2003-09,2003-09-30,"3,741,956.486 "
2003-08,2003-08-31,"3,736,554.239 "
2003-07,2003-07-31,"3,703,329.936 "
2003-06,2003-06-30,"3,672,742.032 "
2003-05,2003-05-31,"3,611,948.554 "
2003-04,2003-04-30,"3,585,634.01 "
2003-03,2003-03-31,"3,544,680.024 "
2003-02,2003-02-28,"3,586,088.152 "
2003-01,2003-01-31,"3,644,116.099 "
2002-12,2002-12-31,"3,674,732.132 "
2002-11,2002-11-30,"3,621,446.534 "
2002-10,2002-10-31,"3,669,737.127 "
2002-09,2002-09-30,"3,689,772.27 "
2002-08,2002-08-31,"3,688,116.048 "
2002-07,2002-07-31,"3,659,904.589 "
2002-06,2002-06-30,"3,663,485.253 "
2002-05,2002-05-31,"3,642,269.964 "
2002-04,2002-04-30,"3,686,443.374 "
2002-03,2002-03-31,"3,875,364.755 "
2002-02,2002-02-28,"3,983,707.687 "
2002-01,2002-01-31,"4,258,342.892 "
